city,sum,life,office,prefecture
高知市,1005,669,336,高知
室戸市,915,873,42,高知
安芸市,1217,965,252,高知
南国市,853,571,281,高知
土佐市,945,683,262,高知
須崎市,881,622,259,高知
宿毛市,1108,816,292,高知
土佐清水市,1067,824,243,高知
四万十市,976,726,250,高知
香南市,763,559,204,高知
香美市,795,651,144,高知
東洋町,958,958,0,高知
奈半利町,1077,872,205,高知
田野町,1186,994,193,高知
安田町,853,853,0,高知
北川村,703,703,0,高知
馬路村,1540,1193,347,高知
芸西村,1094,907,187,高知
本山町,856,734,122,高知
大豊町,570,527,44,高知
土佐町,918,711,207,高知
大川村,570,562,7,高知
いの町,802,665,137,高知
仁淀川町,1126,885,240,高知
中土佐町,1146,1011,135,高知
佐川町,958,823,134,高知
越知町,1083,889,193,高知
梼原町,595,595,0,高知
日高村,876,712,164,高知
津野町,716,716,0,高知
四万十町,916,742,174,高知
大月町,884,721,164,高知
三原村,770,640,131,高知
黒潮町,871,754,118,高知
神戸市,930,613,317,兵庫
姫路市,926,650,276,兵庫
尼崎市,881,605,276,兵庫
明石市,885,616,269,兵庫
西宮市,917,600,317,兵庫
洲本市,"1,008",653,356,兵庫
芦屋市,943,703,241,兵庫
伊丹市,837,551,286,兵庫
相生市,948,651,297,兵庫
豊岡市,969,634,334,兵庫
加古川市,828,583,245,兵庫
赤穂市,"1,021",688,333,兵庫
西脇市,801,578,223,兵庫
宝塚市,890,618,271,兵庫
三木市,999,670,329,兵庫
高砂市,834,635,199,兵庫
川西市,842,631,211,兵庫
小野市,913,619,294,兵庫
三田市,861,644,217,兵庫
加西市,775,551,224,兵庫
丹波篠山市,962,694,268,兵庫
養父市,841,639,203,兵庫
丹波市,776,585,191,兵庫
南あわじ市,919,632,287,兵庫
朝来市,897,658,239,兵庫
淡路市,"1,116",707,409,兵庫
宍粟市,805,612,194,兵庫
加東市,712,447,265,兵庫
たつの市,949,658,291,兵庫
猪名川町,901,714,187,兵庫
多可町,703,554,149,兵庫
稲美町,859,647,212,兵庫
播磨町,798,615,183,兵庫
市川町,738,581,156,兵庫
福崎町,"1,100",680,420,兵庫
神河町,726,555,171,兵庫
太子町,785,613,172,兵庫
上郡町,926,627,299,兵庫
佐用町,907,641,266,兵庫
香美町,841,663,178,兵庫
新温泉町,946,734,212,兵庫