state,sum,life,office
高知市,1005,669,336
室戸市,915,873,42
安芸市,1217,965,252
南国市,853,571,281
土佐市,945,683,262
須崎市,881,622,259
宿毛市,1108,816,292
土佐清水市,1067,824,243
四万十市,976,726,250
香南市,763,559,204
香美市,795,651,144
東洋町,958,958,0
奈半利町,1077,872,205
田野町,1186,994,193
安田町,853,853,0
北川村,703,703,0
馬路村,1540,1193,347
芸西村,1094,907,187
本山町,856,734,122
大豊町,570,527,44
土佐町,918,711,207
大川村,570,562,7
いの町,802,665,137
仁淀川町,1126,885,240
中土佐町,1146,1011,135
佐川町,958,823,134
越知町,1083,889,193
梼原町,595,595,0
日高村,876,712,164
津野町,716,716,0
四万十町,916,742,174
大月町,884,721,164
三原村,770,640,131
黒潮町,871,754,118